iter	Passed	Remaining
0	135	135768
1	137	68390
2	137	45830
3	138	34545
4	139	27821
5	140	23313
6	141	20083
7	142	17631
8	142	15739
9	144	14261
10	144	13012
11	145	11989
12	146	11118
13	147	10371
14	148	9722
15	148	9137
16	149	8620
17	149	8156
18	149	7742
19	150	7371
20	151	7044
21	151	6750
22	152	6481
23	153	6232
24	153	6000
25	154	5787
26	155	5596
27	156	5419
28	157	5258
29	157	5104
30	158	4953
31	158	4809
32	159	4674
33	160	4552
34	160	4432
35	161	4317
36	161	4209
37	162	4107
38	162	4011
39	163	3919
40	163	3831
41	164	3747
42	164	3667
43	165	3590
44	165	3517
45	166	3447
46	166	3379
47	167	3315
48	167	3253
49	168	3194
50	168	3137
51	169	3082
52	169	3030
53	170	2979
54	170	2930
55	171	2883
56	171	2836
57	171	2792
58	172	2750
59	173	2710
60	173	2671
61	174	2633
62	174	2598
63	175	2562
64	175	2530
65	176	2497
66	176	2463
67	177	2428
68	177	2396
69	178	2366
70	178	2336
71	179	2307
72	179	2279
73	179	2252
74	180	2225
75	180	2200
76	181	2175
77	181	2150
78	182	2125
79	182	2101
80	183	2079
81	183	2057
82	184	2035
83	184	2015
84	185	1992
85	185	1972
86	185	1951
87	186	1932
88	186	1913
89	187	1895
90	188	1878
91	188	1861
92	189	1843
93	189	1828
94	190	1812
95	190	1796
96	191	1780
97	191	1765
98	192	1750
99	192	1734
100	193	1720
101	193	1703
102	193	1689
103	194	1675
104	194	1661
105	195	1648
106	195	1634
107	196	1621
108	196	1608
109	197	1595
110	197	1583
111	198	1570
112	198	1558
113	199	1546
114	199	1535
115	199	1523
116	200	1511
117	200	1501
118	201	1489
119	201	1478
120	202	1467
121	202	1457
122	202	1446
123	203	1436
124	203	1426
125	204	1417
126	204	1408
127	205	1398
128	205	1389
129	206	1380
130	206	1371
131	207	1363
132	207	1355
133	208	1346
134	208	1338
135	209	1329
136	209	1321
137	210	1313
138	210	1305
139	211	1297
140	211	1289
141	212	1282
142	212	1274
143	213	1267
144	213	1259
145	214	1252
146	214	1245
147	215	1238
148	215	1231
149	216	1224
150	216	1217
151	217	1210
152	217	1203
153	218	1197
154	218	1191
155	218	1184
156	219	1178
157	220	1172
158	220	1166
159	220	1160
160	221	1153
161	221	1147
162	222	1142
163	222	1136
164	223	1130
165	223	1124
166	224	1118
167	224	1112
168	225	1107
169	225	1101
170	226	1096
171	226	1090
172	227	1085
173	227	1080
174	227	1074
175	228	1069
176	228	1064
177	229	1059
178	229	1054
179	230	1049
180	230	1043
181	231	1038
182	231	1033
183	231	1028
184	232	1024
185	232	1019
186	233	1015
187	233	1010
188	234	1006
189	234	1001
190	235	997
191	235	992
192	236	988
193	236	983
194	237	979
195	237	975
