iter	Passed	Remaining
0	0	723
1	1	657
2	2	687
3	2	668
4	3	669
5	4	671
6	4	669
7	5	679
8	6	677
9	6	671
10	7	669
11	8	675
12	8	681
13	9	678
14	10	677
15	10	675
16	11	673
17	12	673
18	12	670
19	13	671
20	14	669
21	15	668
22	15	669
23	16	670
24	17	666
25	17	667
26	18	669
27	19	670
28	19	666
29	20	664
30	21	662
31	21	661
32	22	660
33	23	660
34	23	659
35	24	660
36	25	660
37	26	662
38	26	661
39	27	659
40	28	658
41	28	657
42	29	657
43	30	656
44	30	655
45	31	654
46	32	653
47	32	652
48	33	652
49	34	651
50	35	655
51	35	654
52	36	652
53	37	652
54	38	652
55	38	652
56	39	650
57	39	649
58	40	649
59	41	646
60	42	646
61	42	645
62	43	643
63	44	643
64	44	643
65	45	642
66	46	642
67	46	642
68	47	643
69	48	642
70	49	643
71	49	643
72	50	644
73	51	646
74	52	645
75	52	644
76	53	642
77	54	642
78	55	641
79	55	640
80	56	639
81	57	638
82	57	633
83	58	632
84	58	632
85	59	631
86	60	631
87	60	629
88	61	629
89	62	628
90	62	628
91	63	628
92	64	628
93	65	627
94	65	627
95	66	625
96	67	625
97	67	624
98	68	623
99	69	622
100	69	621
101	70	620
102	71	619
103	71	618
104	72	617
105	73	616
106	73	616
107	74	616
108	75	615
109	75	613
110	76	611
111	76	610
112	77	608
113	78	606
114	78	604
115	79	604
116	79	601
117	80	599
118	80	597
119	81	595
120	81	593
121	82	590
122	82	589
123	83	587
124	83	585
125	84	583
126	84	581
127	85	580
128	85	578
129	86	576
130	86	574
131	87	572
132	87	570
133	88	569
134	88	567
135	89	565
136	89	564
137	90	562
138	90	561
139	91	560
140	91	559
141	92	557
142	92	557
143	93	555
144	94	555
145	94	554
146	95	552
147	95	552
148	96	550
149	96	548
150	97	547
151	97	546
152	98	545
153	99	543
154	99	542
155	99	540
156	100	539
157	100	537
158	101	536
159	101	534
160	102	532
161	102	531
162	103	529
163	103	527
164	104	526
165	104	526
166	105	525
167	105	523
168	106	522
169	106	521
170	107	521
171	108	521
172	108	520
173	109	519
174	109	518
175	110	517
176	110	515
177	111	515
178	112	515
179	112	513
180	113	512
181	113	511
182	114	509
183	114	508
184	115	507
185	115	505
186	116	504
187	116	503
188	117	502
189	117	501
190	118	500
191	118	500
192	119	498
193	119	497
194	120	496
195	120	495
196	121	494
197	122	494
198	122	494
199	123	493
200	123	492
201	124	492
202	125	491
203	126	492
204	126	492
205	127	491
206	127	490
207	128	489
208	128	488
209	129	487
210	130	486
211	130	485
212	131	484
213	131	483
214	132	482
215	133	483
216	133	482
217	134	481
218	134	480
219	135	479
220	135	478
221	136	477
222	136	476
223	137	475
224	137	474
225	138	473
226	138	472
227	139	471
228	139	470
229	140	470
